"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"big soft luxury bedspreads","bedspread","","1","1","100.00",0.26,0.26,"0",0,,"0.0","0.0"
"black bedspread with cotton","bedspread","","2","1","50.00",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads 128 x 120","bedspread","","4","2","50.00",0.76,0.38,"0",0,,"0.0","0.0"
"bedspread queen bed","bedspread","","2","1","50.00",0.37,0.37,"0",0,,"0.0","0.0"
"bedspreads on amazon. in taupe","bedspread","","6","1","16.67",0.28,0.28,"0",0,,"0.0","0.0"
"black velvet king quilt set","velvet king quilt set","","30","2","6.67",0.54,0.27,"0",0,,"0.0","0.0"
"a bedspread in red aaa drapes in red","bedspread","","1","1","100.00",0.3,0.3,"0",0,,"0.0","0.0"
"bedspread 118x120 purple","bedspread","","6","1","16.67",0.31,0.31,"0",0,,"0.0","0.0"
"alaskan king bedding","king bedding","","33","4","12.12",1.22,0.3,"0",0,,"0.0","0.0"
"anita silk velvet quilt","velvet quilt","","1","1","100.00",0.13,0.13,"0",0,,"0.0","0.0"
"aqua velvet king spread","velvet king","","3","1","33.33",0.31,0.31,"0",0,,"0.0","0.0"
"bed comforters for king size","comforter king size","","4","1","25.00",0.23,0.23,"0",0,,"0.0","0.0"
"bed quilt covers queen","bed quilt","","1","1","100.00",0.09,0.09,"0",0,,"0.0","0.0"
"blue comforter set king","blue comforter set king","Keyword: phrase","10","2","20.00",0.58,0.29,"0",0,,"0.0","0.0"
"bedspread for king comforter","bedspreads king","","1","1","100.00",0.58,0.58,"0",0,,"0.0","0.0"
"100% cotton bedspread","bedspread","","9","1","11.11",0.3,0.3,"0",0,,"0.0","0.0"
"blue king size velvet quilts and bedspreads","velvet bedspread king","","9","1","11.11",0.46,0.46,"0",0,,"0.0","0.0"
"bedspread and comforters","bedspread","","38","2","5.26",0.64,0.32,"0",0,,"0.0","0.0"
"adjustable bed bedspread","bedspread","","3","1","33.33",0.29,0.29,"0",0,,"0.0","0.0"
"bedspreads king size clearance","bedspread","","188","10","5.32",3.29,0.33,"0",0,,"0.0","0.0"
"bedspread smoky blue","bedspread","","3","1","33.33",0.33,0.33,"0",0,,"0.0","0.0"
"blue and brown bedspread","bedspread","","1","1","100.00",0.29,0.29,"0",0,,"0.0","0.0"
"beige bedspread","bedspread","","16","2","12.50",0.48,0.24,"0",0,,"0.0","0.0"
"blue velvet comforter","velvet comforters","","5","2","40.00",0.11,0.06,"0",0,,"0.0","0.0"
"bedspread","bedspread","Keyword: phrase, broad","10","1","10.00",0.29,0.29,"0",0,,"0.0","0.0"
"bed quilt","bed quilt","Keyword: phrase","50","7","14.00",1.48,0.21,"0",0,,"0.0","0.0"
"bedspread neutral","bedspread","","1","1","100.00",0.27,0.27,"0",0,,"0.0","0.0"
"black friday soft comforter","soft comforter","","2","1","50.00",0.1,0.1,"0",0,,"0.0","0.0"
"aqua bedspread king","bedspreads king","","11","1","9.09",0.4,0.4,"0",0,,"0.0","0.0"
